Diet_type,Recipe_name,Cuisine_type,Protein(g),Carbs(g),Fat(g),Calories
paleo,Bone Broth From 'Nom Nom Paleo',american,5.22,1.29,3.2,54.84
paleo,Strawberry Guacamole recipes,mexican,9.62,75.78,59.89,880.61
paleo,"Asian Cauliflower Fried ""Rice"" From 'Nom Nom Paleo'",chinese,39.84,54.08,71.55,1019.6299999999999
paleo,Paleo Shrimp-Stuffed Mushrooms recipes,mediterranean,68.62,34.15,42.44,793.04
paleo,Paleo Pumpkin Pie recipes,american,30.03,275.88,97.68,2102.76
paleo,Autoimmune Paleo Pesto,italian,4.25,14.15,72.9,729.7
paleo,Paleo Collard Burrito,mexican,44.62,28.66,78.46,999.26
paleo,Paleo Chawanmushi (Savory Egg Custard) recipes,american,61.43,13.29,24.6,520.28
paleo,Leftover Turkey Sandwich recipes,american,54.09,34.97,14.1,483.14
paleo,Paleo Pumpkin Waffles,american,51.24,89.63,78.38,1268.9
paleo,Turkey Club Sandwich,american,46.92,39.94,19.6,523.84
paleo,Paleo Crepes,french,15.73,15.91,49.16,569.0
paleo,Simple Crab Salad recipes,american,82.1,4.75,20.24,529.56
paleo,Blueberry French Toast Casserole,french,78.59,290.1,84.95,2239.3100000000004
paleo,Paleo Spanish Rice,mediterranean,28.67,64.13,37.71,710.5899999999999
paleo,Whole30® Sriracha,south east asian,12.16,85.78,2.91,417.95
paleo,Spicy Salmon Cucumber Bites recipes,nordic,49.84,17.2,75.62,948.74
paleo,Blueberry French Toast Casserole recipes,french,78.59,290.1,84.95,2239.3100000000004
paleo,Paleo Creamy Alfredo,american,16.48,32.46,91.36,1018.0
paleo,Paleo Blini recipes,eastern europe,15.5,12.78,23.29,322.73
paleo,Paleo Tzimmes,kosher,16.11,236.88,3.86,1046.7
paleo,Paleo Pumpkin Bars,american,39.73,169.01,117.95,1896.5099999999998
paleo,Paleo Crepes recipes,french,27.38,9.57,61.87,704.6299999999999
paleo,Paleo Peach Crisp,french,39.58,126.88,97.83,1546.31
paleo,Paleo Pumpkin Bars,american,36.27,182.51,105.1,1821.02
paleo,Paleo Carrot Soup,american,27.17,116.73,125.14,1701.8600000000001
paleo,Grain-Free Cauliflower Fried Rice recipes,chinese,37.54,56.92,53.88,862.76
paleo,Paleo Pecan Tart Crust,american,20.15,24.96,111.99,1188.35
paleo,Paleo Pie Crust recipes,american,56.39,43.01,143.87,1692.4299999999998
paleo,Paleo Mug Cake recipes,british,10.48,19.56,12.5,232.66
paleo,Mini Paleo Egg Bites,american,118.36,6.54,61.57,1053.73
paleo,Egg-Free Paleo Macaroons,french,9.91,99.09,110.51,1430.5900000000001
paleo,Paleo Raw Chocolate Bites,american,46.07,261.6,147.5,2558.1800000000003
paleo,Paleo Mushroom Soup recipes,french,60.19,112.58,52.61,1164.57
paleo,Paleo Avocado Tuna Salad,mexican,32.45,24.27,31.05,506.33
paleo,Crab + Avocado Temaki recipes,caribbean,88.79,32.66,55.58,986.02
paleo,Red Cabbage Slaw with Tangy Carrot Ginger Dressing recipes,american,9.65,42.63,83.92,964.4
paleo,Paleo Prosciutto Egg Cups,italian,80.95,6.34,113.98,1374.98
paleo,Paleo Chicken Adobo recipes,mediterranean,123.17,61.52,107.7,1708.06
paleo,Cranberry Apple Stuffing,american,47.89,285.93,93.75,2179.0299999999997
paleo,Paleo Dirty Rice recipes,caribbean,26.68,80.75,35.37,748.05
